"the_date","the_sentence","Revision","newtext"
2013-10-17,"May I remind Members that there is a six-minute limit?","Present","May I remind Members that there is a six-minute limit?"
1984-11-14,"It has already been made clear to the House that any recent decisions involving public expenditure will not affect humanitarian aid to Ethiopia.","Past","It has already been made clear to the House that any recent decisions involving public expenditure will not affect humanitarian aid to Ethiopia."
1983-07-11,"The Government have made available £450,000 to the Falkland Islands Government to purchase the Packe Brothers farm on West Falkland.","Past","The Government have made available £450,000 to the Falkland Islands Government to purchase the Packe Brothers farm on West Falkland."
2007-06-15,"I said: ""I do not know whether this is a parliamentary term...but my response to that is 'bingo!'"" ——[ Official Report, Sustainable Communities Public Bill Committee, 23 May 2007; c.","Present","I said: ""I do not know whether this is a parliamentary term...but my response to that is 'bingo!'"" ——[ Official Report, Sustainable Communities Public Bill Committee, NAago; c."
2003-12-04,"I welcome that response, but the question was about the street crime initiative in North-East Derbyshire.","Present","I welcome that response, but the question was about the street crime initiative in North-East Derbyshire."
1983-03-07,"It will be for the new trustees of the V and A to decide when the theatre museum will be opened, but the main building work will take approximately two years.","Future","It will be for the new trustees of the V and A to decide when the theatre museum will be opened, but the main building work will take approximately two years."
2010-12-09,"I repeat what I said a few moments ago: the evidence shows that around 90% of EMA spending goes to students who would have stayed in education anyway.","Present","I repeat what I said a few moments ago: the evidence shows that around 90% of EMA spending goes to students who would have stayed in education anyway."
1985-03-18,"It included a clinical pharmacologist, a physician, a geriatrician, a paediatrician and a psychiatrist.","Past","It included a clinical pharmacologist, a physician, a geriatrician, a paediatrician and a psychiatrist."
1979-07-27,"That was confirmed during industrial action by members of the Post Office Engineering Union last year, when it proved possible to provide standby maintenance cover using fewer people without adversely affecting the overall level of service.","Past","That was confirmed during industrial action by members of the Post Office Engineering Union last year, when it proved possible to provide standby maintenance cover using fewer people without adversely affecting the overall level of service."
1988-11-08,"I was asked why I should be promoting the Bills and what my relationship was with Associated British Ports and the promoters of the North Killingholme Cargo Terminal Bill.","Present","I was asked why I should be promoting the Bills and what my relationship was with Associated British Ports and the promoters of the North Killingholme Cargo Terminal Bill."
1999-06-16,"If she will make a statement on the progress of plans to support Kosovar refugees in the region around Kosovo.","Present","If she will make a statement on the progress of plans to support Kosovar refugees in the region around Kosovo."
1997-01-29,"If medical practitioners are involved in the determination of a hospital direction, then, in the context of amendment No. 142, they should also be involved in deciding whether a patient should be sent to Barlinnie or Greenock or to some other penal establishment.","Present","If medical practitioners are involved in the determination of a hospital direction, then, in the context of amendment No. 142, they should also be involved in deciding whether a patient should be sent to Barlinnie or Greenock or to some other penal establishment."
1990-06-06,"In Lancashire the average expectation of life is two years below the national average.","Present","In Lancashire the average expectation of life is two years below the national average."
1989-04-19,"It is coming to Britain because we are a pushover.","Future","It is coming to Britain because we are a pushover."
1996-11-06,"General Motors is moving investment into Britain under our current arrangements.","Present","General Motors is moving investment into Britain under our current arrangements."
2000-10-24,"Until we have a full report from Navy engineers, we shall not be able to identify the length of time required.","Future","Until we have a full report from Navy engineers, we shall not be able to identify the length of time required."
1992-01-16,"What the right Honourable Gentleman might also have fastened his mind upon is the fact that reported job vacancies are rising, that the number of people placed in jobs is rising and that there are 500,000 more people in work than in 1979.","Past","What the right Honourable Gentleman might also have fastened his mind upon is the fact that reported job vacancies are rising, that the number of people placed in jobs is rising and that there are 500,000 more people in work than 13 years ago."
1980-07-29,"The right Honourable Member is getting away with murder.","Present","The right Honourable Member is getting away with murder."
2007-04-26,"It was Liberty's freedom of information request.","Past","It was Liberty's freedom of information request."
2004-09-07,"The NATO team was deployed to Iraq last month, and it is scoping the training requirement for the Iraqi security forces.","Past","The NATO team was deployed to Iraq last month, and it is scoping the training requirement for the Iraqi security forces."
2013-07-09,"If we are legislating to prevent people from being members of two different legislatures, that is exactly what we should do.","Present","If we are legislating to prevent people from being members of two different legislatures, that is exactly what we should do."
1982-02-02,"Stoke Orchard has been liquefying coal for years in a laboratory experiment.","Past","Stoke Orchard has been liquefying coal for years in a laboratory experiment."
1991-05-23,"What about cricket?","Present","What about cricket?"
1991-07-22,"Was any research carried out by Roussel Uclaf and submitted to the Medicines Control Agency on post-abortion syndrome?","Past","Was any research carried out by Roussel Uclaf and submitted to the Medicines Control Agency on post-abortion syndrome?"
1992-01-22,"Anyone who is genuinely concerned about people having to pay their mortgages would be appalled by the Labour party's proposal to put tax rates up to 59p in the pound.","Present","Anyone who is genuinely concerned about people having to pay their mortgages would be appalled by the Labour party's proposal to put tax rates up to 59p in the pound."
2002-01-15,"In that regard, will the Secretary of State seek to persuade the Secretary of State for the Environment, Food and Rural Affairs to use the derogations available to alleviate the plight of small farmers and crofters who are drowning under a sea of paper?","Future","In that regard, will the Secretary of State seek to persuade the Secretary of State for the Environment, Food and Rural Affairs to use the derogations available to alleviate the plight of small farmers and crofters who are drowning under a sea of paper?"
1994-01-11,"In that case Honourable Members must not persist.","Present","In that case Honourable Members must not persist."
1994-07-01,"I have seen some of the war graves in France, where there are rows upon rows of white crosses.","Past","I have seen some of the war graves in France, where there are rows upon rows of white crosses."
2015-01-16,"The centenary of Gallipoli will be commemorated this year, not just in Bury but across the country.","Future","The centenary of Gallipoli will be commemorated this year, not just in Bury but across the country."
1998-06-05,"I gather from the Minister for Sport that the score, when he last received news, was 326 for four.","Present","I gather from the Minister for Sport that the score, when he last received news, was 326 for four."
1981-06-03,"Does anyone suggest that it would be a ground of outrage or indignation or would be regarded as insulting that that child should not have conferred upon it Peruvian or Chinese citizenship?","Present","Does anyone suggest that it would be a ground of outrage or indignation or would be regarded as insulting that that child should not have conferred upon it Peruvian or Chinese citizenship?"
2003-05-13,"In relation to Central Railway, there is a proposition there, and Central Railway has been speaking to my Department.","Present","In relation to Central Railway, there is a proposition there, and Central Railway has been speaking to my Department."
2008-10-09,"Minority languages have some protection under the Council of Europe minority language charter, but sign languages do not.","Present","Minority languages have some protection under the Council of Europe minority language charter, but sign languages do not."
2004-11-17,"That was written two weeks ago, by Sue Sida-Lockett, the Conservative chair of the East of England regional assembly.","Past","That was written two weeks ago, by Sue Sida-Lockett, the Conservative chair of the East of England regional assembly."
2006-06-19,"The problem is, how sure can we be of the veracity of some of the documentation and the authenticity of some of the qualifications that overseas applicants claim to have?","Present","The problem is, how sure can we be of the veracity of some of the documentation and the authenticity of some of the qualifications that overseas applicants claim to have?"
1980-05-15,"Have you read the New Statesman, Norman?","Present","Have you read the New Statesman, Norman?"
1981-05-20,"That wrecks the Honourable Gentleman's logic.","Present","That wrecks the Honourable Gentleman's logic."
1990-02-21,"I was never out of order once.","Present","I was never out of order once."
1984-01-31,"Is my Honourable Friend suggesting that there may be a spark of truth in what comes from the Scottish Office?","Present","Is my Honourable Friend suggesting that there may be a spark of truth in what comes from the Scottish Office?"
1982-02-02,"How wrong could he be?","Present","How wrong could he be?"
2014-06-30,"Not once did the right Honourable Gentleman actually say that he did not support Jean-Claude Juncker either.","Past","Not once did the right Honourable Gentleman actually say that he did not support Jean-Claude Juncker either."
2012-02-01,"This has been an important debate, yet the Government have ensured that no time was available to discuss Labour’s amendment and to put it to the vote before the knife fell at 5 o’clock.","Present","This has been an important debate, yet the Government have ensured that no time was available to discuss Labour’s amendment and to put it to the vote before the knife fell at 5 o’clock."
2010-11-22,"However, I also made it clear at the time there can only be one Chancellor of the Exchequer operating for the UK, even in the unusual situation between the general election and the formation of this Government.","Past","However, I also made it clear at the time there can only be one Chancellor of the Exchequer operating for the UK, even in the unusual situation between the general election and the formation of this Government."
1981-03-20,"Michael Selby, the governor of Brixton, said that conditions there were worse than Dickensian and that the treatment meted out to prisoners was worse than they suffered more than 100 years ago.","Past","Michael Selby, the governor of Brixton, said that conditions there were worse than Dickensian and that the treatment meted out to prisoners was worse than they suffered more than 100 years ago."
2010-11-04,"I might be accused of being sycophantic, but I will say this nevertheless.","Present","I might be accused of being sycophantic, but I will say this nevertheless."
1999-02-15,"Life peers are not likely to do so.","Present","Life peers are not likely to do so."
1985-12-04,"No grade 1 listed building was lost.","Past","No grade 1 listed building was lost."
1986-11-19,"During this Session of Parliament alone, British Gas, British Airways, Rolls-Royce and the British Airports Authority will be privatised, so that the state commercial sector will be down to little more than half of what we inherited in 1979.","Past","During this Session of Parliament alone, British Gas, British Airways, Rolls-Royce and the British Airports Authority will be privatised, so that the state commercial sector will be down to little more than half of what we inherited 7 years and 10 months ago."
2010-11-30,"The truth is that if a parent or young person is considering going to college or university, they face no up-front fees.","Present","The truth is that if a parent or young person is considering going to college or university, they face no up-front fees."
1990-05-15,"10 Downing street have been briefing the press about that question, which asks whether the Minister has any plans to add to his previous statement on bovine spongiform encephalopathy in the light of recent events.","Past","10 Downing street have been briefing the press about that question, which asks whether the Minister has any plans to add to his previous statement on bovine spongiform encephalopathy in the light of recent events."
1996-04-30,"As we have been given a second opportunity to right a wrong, we should do so tonight.","Present","As we have been given a second opportunity to right a wrong, we should do so tonight."
1986-02-13,"The clothing industry is already introducing much new technology, which does not allow the industry to take on much extra labour.","Present","The clothing industry is already introducing much new technology, which does not allow the industry to take on much extra labour."
1998-05-06,"Sadly, the federal solution, which is another neat solution, is no solution at all.","Present","Sadly, the federal solution, which is another neat solution, is no solution at all."
1984-05-22,"Or somewhere else where he would be more at home.","Present","Or somewhere else where he would be more at home."
2013-06-04,"One thing about which I am pretty certain is that the world’s concern about climate change will be more intense in 2030 than it is today.","Future","One thing about which I am pretty certain is that the world’s concern about climate change will be more intense 16 years and 7 months from now than it is today."
2012-02-09,"I declare that I am a parliamentary fellow to the Football Association.","Present","I declare that I am a parliamentary fellow to the Football Association."
1979-12-18,"Refugee students are different.","Present","Refugee students are different."
1996-04-26,"I am aware that there are Scotsmen in England who wear national costume.","Present","I am aware that there are Scotsmen in England who wear national costume."
2012-06-18,"Our independent nuclear defence has not only protected democracy in this country and around the world but expanded it.","Past","Our independent nuclear defence has not only protected democracy in this country and around the world but expanded it."
1979-10-23,"On 9 July.","Past","On 9 July."
1985-03-11,"Those people are casualties of the Government's economic war of attrition.","Present","Those people are casualties of the Government's economic war of attrition."
2010-03-23,"That is the point-I missed it because he was so speedy.","Present","That is the point-I missed it because he was so speedy."
2012-01-17,"Innovative retailers can harness the power of the internet and e-commerce to change the way in which they do business.","Present","Innovative retailers can harness the power of the internet and e-commerce to change the way in which they do business."
1987-03-17,"I have read the suggestion in the press that there may be several billion pounds to be given away.","Present","I have read the suggestion in the press that there may be several billion pounds to be given away."
1989-02-07,"As British troops have been there for 40 years, can we not give them the decent living and working conditions that they deserve if they are to stay there much longer?","Present","As British troops have been there for 40 years, can we not give them the decent living and working conditions that they deserve if they are to stay there much longer?"
1983-01-21,"There is lead in water pipes.","Present","There is lead in water pipes."
1985-02-13,"The date would be published throughout the country.","Present","The date would be published throughout the country."
1993-10-19,"Will the Minister admit that only one of the 22 people chasing each vacancy will be successful?","Future","Will the Minister admit that only one of the 22 people chasing each vacancy will be successful?"
1998-02-23,"When I introduced the Acquisition and Possession of Air Weapons (Restriction) Bill, I said that 7,000 police officers had been injured and one had been killed by airguns in recent years.","Past","When I introduced the Acquisition and Possession of Air Weapons (Restriction) Bill, I said that 7,000 police officers had been injured and one had been killed by airguns in recent years."
2008-06-25,"In theory, that takes place through the regional Ministers, but although they are in place, there is no way to hold the RDAs to account.","Present","In theory, that takes place through the regional Ministers, but although they are in place, there is no way to hold the RDAs to account."
1994-06-17,"There were particularly notable increases, for example in the pharmaceutical industry, where the increase was 19' per cent.","Past","There were particularly notable increases, for example in the pharmaceutical industry, where the increase was 19' per cent."
1979-05-16,"Given what has happened recently in Bolton, I have several questions for the Secretary of State.","Past","Given what has happened recently in Bolton, I have several questions for the Secretary of State."
1986-07-01,"May I ask him a question that the managing director has put to me?","Present","May I ask him a question that the managing director has put to me?"
2001-11-29,"The Bill was debated in the other place on Monday and approved without amendment.","Past","The Bill was debated in the other place on Monday and approved without amendment."
2012-06-12,"Apologies.","Present","Apologies."
1995-02-06,"Is not the reason that perhaps the Tenant Farmers Association would rather have tenancy agreements that are slightly less than perfect than none at all?","Present","Is not the reason that perhaps the Tenant Farmers Association would rather have tenancy agreements that are slightly less than perfect than none at all?"
2011-05-03,"It is precisely those areas, including the parts of north-east Scotland represented by myself and by the right Honourable Member for Gordon (Malcolm Bruce) and the Honourable Member for West Aberdeenshire and Kincardine (Sir Robert Smith), who tabled the amendment, that face a hugely disproportionate impact on jobs and investment in the oil and gas sector.","Present","It is precisely those areas, including the parts of north-east Scotland represented by myself and by the right Honourable Member for Gordon (Malcolm Bruce) and the Honourable Member for West Aberdeenshire and Kincardine (Sir Robert Smith), who tabled the amendment, that face a hugely disproportionate impact on jobs and investment in the oil and gas sector."
1997-03-19,"I am not sure that he was ever incarcerated in a woman's prison, which would have been grossly unfair on women prisoners.","Past","I am not sure that he was ever incarcerated in a woman's prison, which would have been grossly unfair on women prisoners."
2007-10-17,"The fruit.","Present","The fruit."
2006-02-13,"KPMG examined the methodology behind the entire business case in considerable detail.","Past","KPMG examined the methodology behind the entire business case in considerable detail."
1988-07-20,"If Conservative Members were proud of those policies and felt that they could be defended, they would have nothing to fear from local authority publicity within the terms of the 1986 Act.","Present","If Conservative Members were proud of those policies and felt that they could be defended, they would have nothing to fear from local authority publicity within the terms of the 1986 Act."
2007-03-01,"He will be aware that I wrote last week to the Secretary of State for Work and Pensions to call for an urgent investigation into Abu Hamza and his household, and their benefit claims.","Past","He will be aware that I wrote last week to the Secretary of State for Work and Pensions to call for an urgent investigation into Abu Hamza and his household, and their benefit claims."
2006-05-18,"It is clearly no good waiting for the results of the energy review, because the Prime Minister has transparently decided to pre-empt the results of that review.","Present","It is clearly no good waiting for the results of the energy review, because the Prime Minister has transparently decided to pre-empt the results of that review."
1993-12-08,"If we have interventions of that length, not many Honourable Members will be able to do so.","Present","If we have interventions of that length, not many Honourable Members will be able to do so."
1987-10-23,"The defence says that a large quantity of classified material was seized at the home of Mr Larsen by the anti-terrorist squad and retained.","Past","The defence says that a large quantity of classified material was seized at the home of Mr Larsen by the anti-terrorist squad and retained."
1982-05-05,"Is not the loss of HMS ""Sheffield"" a clear indication that we have now reached the missile age?","Present","Is not the loss of HMS ""Sheffield"" a clear indication that we have now reached the missile age?"
2011-12-06,"On the broader question of infrastructure, which is so important to the competitiveness of our economy, we find that Britain lies in 28th position, according to the latest figures, not rubbing shoulders with France, which is third, or Germany, which is 10th, but instead between Saudi Arabia and the Czech Republic.","Present","On the broader question of infrastructure, which is so important to the competitiveness of our economy, we find that Britain lies in 28th position, according to the latest figures, not rubbing shoulders with France, which is third, or Germany, which is 10th, but instead between Saudi Arabia and the Czech Republic."
2011-03-28,"I think President Barroso sees the world like that.","Present","I think President Barroso sees the world like that."
1983-12-22,"Does she agree that only as a last resort should the £1 coin be universally introduced?","Future","Does she agree that only as a last resort should the £1 coin be universally introduced?"
1985-10-24,"Pancras (Mr Dobson)?","Present","Pancras (Mr Dobson)?"
2013-05-16,"In April I joined the Colne ringers for a practice night in the bell tower of St Bartholomew’s church in Colne.","Past","In April I joined the Colne ringers for a practice night in the bell tower of St Bartholomew’s church in Colne."
1996-01-24,"We have tried to get it across to Labour Members—unsuccessfully so far—that temporary work accounts for a much lower proportion of our work force than in most continental countries.","Present","We have tried to get it across to Labour Members—unsuccessfully so far—that temporary work accounts for a much lower proportion of our work force than in most continental countries."
1981-04-06,"Is he aware that I learnt on Saturday night that BICC at Prescot in Lancashire has just completed its own telecommunications department, giving it private facilities to speak to sister firms all over the world, and that it completed that department by buying all its cable from Taiwan, while cable workers in St.","Past","Is he aware that I learnt on Saturday night that BICC at Prescot in Lancashire has just completed its own telecommunications department, giving it private facilities to speak to sister firms all over the world, and that it completed that department by buying all its cable from Taiwan, while cable workers in St."
1983-03-16,"Is the Minister aware that public transport in Strathclyde is facing a financial crisis and that serious consideration is being given to closing three bus garages and the recently modernised underground system in Glasgow?","Present","Is the Minister aware that public transport in Strathclyde is facing a financial crisis and that serious consideration is being given to closing three bus garages and the recently modernised underground system in Glasgow?"
1986-02-19,"Does he not take that threat seriously?","Present","Does he not take that threat seriously?"
1998-02-27,"However, the subject has come up this week.","Present","However, the subject has come up this week."
1986-05-14,"Even ICI, which is represented in his constituency at Blackley, cannot wait for it to be enacted—","Present","Even ICI, which is represented in his constituency at Blackley, cannot wait for it to be enacted—"
2004-02-23,"I recognise that that would give legal recognition to same-sex marriage in that specific circumstance.","Present","I recognise that that would give legal recognition to same-sex marriage in that specific circumstance."
1989-02-15,"His local knowledge is greater than mine, but I am advised that the contingency arrangements and the public nature of those arrangements make the case that he describes impossible.","Present","His local knowledge is greater than mine, but I am advised that the contingency arrangements and the public nature of those arrangements make the case that he describes impossible."
1984-11-06,"""Plan for Coal"" was drawn up by Eric Varley immediately after the Arab oil price increase in 1973–74.","Past","""Plan for Coal"" was drawn up by Eric Varley immediately after the Arab oil price increase 11 years and 10 months ago–74."
1979-12-06,"That might be the IBA.","Present","That might be the IBA."
1997-05-20,"Statement by the Chancellor of the Exchequer.","Present","Statement by the Chancellor of the Exchequer."
2006-06-21,"Will my right Honourable Friend join me and the vast majority of Scottish people in condemning the wanton violence perpetrated on my constituent, Ian Smith, in Aberdeen yesterday, just for wearing an English top and flying a small English flag on his car?","Past","Will my right Honourable Friend join me and the vast majority of Scottish people in condemning the wanton violence perpetrated on my constituent, Ian Smith, in Aberdeen yesterday, just for wearing an English top and flying a small English flag on his car?"
1988-03-18,"However, I qualify my acceptance by saying that the City could do a great deal more to find out what is going on outside London and the south-east.","Present","However, I qualify my acceptance by saying that the City could do a great deal more to find out what is going on outside London and the south-east."
1989-04-24,"Presumably, my Honourable Friends would support that take-up; we have not reached 60 per cent. take-up of family credit.","Present","Presumably, my Honourable Friends would support that take-up; we have not reached 60 per cent. take-up of family credit."
1994-06-27,"Is the Prime Minister aware that in 1940, when I was 20, it was not considered any great crime to put Britain's interests before the then European consensus?","Past","Is the Prime Minister aware that 54 years and 5 months ago, when I was 20, it was not considered any great crime to put Britain's interests before the then European consensus?"
1980-07-15,"In section 19(6), the definition of ""house"".'.","Present","In section 19(6), the definition of ""house"".'."
1987-04-22,"The Honourable Gentleman is going now to the substance.","Present","The Honourable Gentleman is going now to the substance."
1997-05-16,"Given the failures and successes of the last two decades and the decisive rejection of the Conservative party by the people, the continuation of the status quo is no longer an option.","Past","Given the failures and successes of the last two decades and the decisive rejection of the Conservative party by the people, the continuation of the status quo is no longer an option."
2001-03-05,"What the cost is of the winter fuel allowance paid in the winter of 2000–01.","Past","What the cost is of the winter fuel allowance paid in the winter of 2000–01."
1979-02-06,"I do not think that my Honourable Friend will be too dissatisfied with the programme that will shortly be announced for next year.","Future","I do not think that my Honourable Friend will be too dissatisfied with the programme that will shortly be announced for next year."
2007-11-08,"They say, ""Charles, every morning we get up at 5.30; we have to get up that early because if we get to the station after 6.15 we can't get a seat on the train.","Present","They say, ""Charles, every morning we get up at 5.30; we have to get up that early because if we get to the station after 6.15 we can't get a seat on the train."
1985-05-01,"Does the Minister appreciate that there is concern at the Llanwern steelworks about the failure to give the go-ahead for the concast project?","Present","Does the Minister appreciate that there is concern at the Llanwern steelworks about the failure to give the go-ahead for the concast project?"
2004-05-17,"Rather than grant allocations being fixed at the time of the local government grant settlement, the idea is that the allocations become variable, which happened in the 1970s and part of the 1980s.","Past","Rather than grant allocations being fixed at the time of the local government grant settlement, the idea is that the allocations become variable, which happened in the 1970s and part of the 1980s."
1982-12-20,"The ""ban party"" and the ""Benn party"" are now one and the same.","Present","The ""ban party"" and the ""Benn party"" are now one and the same."
1992-12-07,"Does the Minister accept that that is an unfair practice?","Present","Does the Minister accept that that is an unfair practice?"
1981-02-11,"Mr Walter Harrisonrose in his place and claimed to move, That the Question be now put.","Present","Mr Walter Harrisonrose in his place and claimed to move, That the Question be now put."
1991-11-05,"I see the Under-Secretary nodding at that.","Present","I see the Under-Secretary nodding at that."
1989-05-19,"I am objecting to how the licence system works, and I am considering satellite development.","Present","I am objecting to how the licence system works, and I am considering satellite development."
2009-10-27,"I should have declared an interest at the beginning of my remarks: I am a member of the Orange Institution and the Royal Black Institution, which are marching orders in Northern Ireland.","Present","I should have declared an interest at the beginning of my remarks: I am a member of the Orange Institution and the Royal Black Institution, which are marching orders in Northern Ireland."
1981-10-27,"What about the meals on wheels?","Present","What about the meals on wheels?"
2003-09-08,"So I found myself torn, and approached the issue with an open mind.","Past","So I found myself torn, and approached the issue with an open mind."
1997-12-16,"In addition, if that is the best point with which the Minister can prime his Back Benchers, he is even more feeble than I thought.","Present","In addition, if that is the best point with which the Minister can prime his Back Benchers, he is even more feeble than I thought."
2013-12-04,"As RWE said at the time, its decision about the project was a commercial one taken for a range of reasons.","Past","As RWE said at the time, its decision about the project was a commercial one taken for a range of reasons."
1980-11-07,"The number of sheep in Galicia is large.","Present","The number of sheep in Galicia is large."
2009-05-18,"Who is in charge of the Metropolitan Police Commissioner?","Present","Who is in charge of the Metropolitan Police Commissioner?"
2004-10-18,"If the Home Secretary is doing such a marvellous job, why is the price falling?","Present","If the Home Secretary is doing such a marvellous job, why is the price falling?"
2011-12-13,"That is something that the previous Government and this one urged on the industry, and we are delighted that existing law was used to seek an injunction to block a site that was intent on infringing copyright and on effectively selling illegal products over the web.","Past","That is something that the previous Government and this one urged on the industry, and we are delighted that existing law was used to seek an injunction to block a site that was intent on infringing copyright and on effectively selling illegal products over the web."
1998-07-30,"What measures he is taking to promote the sale of British beef.","Future","What measures he is taking to promote the sale of British beef."
2000-06-07,"There was ignorance—one in four or five of our adults were lacking basic numeracy and literacy skills.","Past","There was ignorance—one in four or five of our adults were lacking basic numeracy and literacy skills."
1992-04-28,"I shall return, of course, at half past 5, and again at 6 for the last time.","Present","I shall return, of course, at half past 5, and again at 6 for the last time."
1984-01-31,"I have answered two parliamentary questions from the right Honourable Member for Manchester, Wythenshawe (Mr Morris) and I have received two letters, including one of 12 January 1983, from the Honourable Gentleman.","Past","I have answered two parliamentary questions from the right Honourable Member for Manchester, Wythenshawe (Mr Morris) and I have received two letters, including one year ago, from the Honourable Gentleman."
2007-12-04,"During the course of the discussions, it transpired that the system of affiliation fees was far more backward, and far more of a racket, than we had realised.","Past","During the course of the discussions, it transpired that the system of affiliation fees was far more backward, and far more of a racket, than we had realised."
2006-11-07,"Equally, if a ship had run aground, it would be much more sensible to have a naval panel to administer the court martial than soldiers or airmen.","Present","Equally, if a ship had run aground, it would be much more sensible to have a naval panel to administer the court martial than soldiers or airmen."
2011-01-18,"Hundreds of words and phrases in modern English came from the King James Bible, such as, ""Eat, drink and be merry,"" ""Grinding the faces of the poor,"" ""No peace for the wicked"" and ""Fly in the ointment.""","Past","Hundreds of words and phrases in modern English came from the King James Bible, such as, ""Eat, drink and be merry,"" ""Grinding the faces of the poor,"" ""No peace for the wicked"" and ""Fly in the ointment."""
2007-05-02,"It is only the election of the Rajapakse Government that has caused a big deterioration in the relationships.","Past","It is only the election of the Rajapakse Government that has caused a big deterioration in the relationships."
1983-02-01,"It has been the policy of successive Governments neither to confirm nor deny the presence or absence of muclear weapons at any particular location.","Present","It has been the policy of successive Governments neither to confirm nor deny the presence or absence of muclear weapons at any particular location."
2002-01-22,"The Honourable Member for Coventry, South (Mr Cunningham) has sat down after making a speech that was entirely concerned with an extraordinary, rather rapid attack on the history of the Conservative Government.","Present","The Honourable Member for Coventry, South (Mr Cunningham) has sat down after making a speech that was entirely concerned with an extraordinary, rather rapid attack on the history of the Conservative Government."
1985-01-25,"And his doorstep is not too far away from mine.","Present","And his doorstep is not too far away from mine."
2011-07-19,"] I mean Libyan rebels.","Present","] I mean Libyan rebels."
1985-02-27,"Not only to me, but to the National Association of Local Parish Councils, of which I am a vice-president.","Present","Not only to me, but to the National Association of Local Parish Councils, of which I am a vice-president."
1996-03-27,"The Honourable Member will share my concern that Haul Waste is seeking planning permission for a huge—probably the biggest—quarry site in Northern Ireland on the edge of Larne lough.","Present","The Honourable Member will share my concern that Haul Waste is seeking planning permission for a huge—probably the biggest—quarry site in Northern Ireland on the edge of Larne lough."
1988-03-28,"Does the right Honourable Gentleman realise that up to 12 power stations are now redundant in Britain?","Present","Does the right Honourable Gentleman realise that up to 12 power stations are now redundant in Britain?"
1988-04-20,"Should not the Leader of the House look back a little further to see what happened in the past?","Past","Should not the Leader of the House look back a little further to see what happened in the past?"
2007-05-24,"Not all of it is edible, as some of it is past its sell-by date; none the less that is a remarkably high proportion.","Present","Not all of it is edible, as some of it is past its sell-by date; none the less that is a remarkably high proportion."
1982-03-04,"There is a big difference between the cash balances that it accepts and which the Court of Auditors says ought to exist.","Present","There is a big difference between the cash balances that it accepts and which the Court of Auditors says ought to exist."
1989-06-26,"Altogether, since 1979 we have injected nearly £10 billion of grant finance.","Past","Altogether, 10 years and 5 months ago we have injected nearly £10 billion of grant finance."
1986-02-18,"As my Honourable Friend says, we have given a guarantee to 16-year-old school leavers.","Past","As my Honourable Friend says, we have given a guarantee to 16-year-old school leavers."
2006-05-09,"On Valentine's day, the Secretary of State plumbed new depths when she told the ""Today"" programme that she would vote to exempt clubs from a smoking ban but did the opposite in the afternoon.","Past","On Valentine's day, the Secretary of State plumbed new depths when she told the ""Today"" programme that she would vote to exempt clubs from a smoking ban but did the opposite in the afternoon."
1996-07-10,"Time is up","Present","Time is up"
2008-03-13,"There is no reason why one of the larger providers could not subcontract work to a smaller provider as part of the scheme.","Present","There is no reason why one of the larger providers could not subcontract work to a smaller provider as part of the scheme."
1999-02-26,"Obviously, it refers not just to abuse but to any sexual offence, including some that are now legal following a change in the law on the age of consent.","Present","Obviously, it refers not just to abuse but to any sexual offence, including some that are now legal following a change in the law on the age of consent."
1994-04-26,"Will he unequivocally condemn the advertising material that is currently circulating, which encourages queue-jumping among civil servants in his own Department?","Present","Will he unequivocally condemn the advertising material that is currently circulating, which encourages queue-jumping among civil servants in his own Department?"
1982-02-15,"We advanced the figure of eight, not as an opening bid, but as a reasonable figure.","Past","We advanced the figure of eight, not as an opening bid, but as a reasonable figure."
1990-06-22,"Howe), who at that time was Secretary of State for Foreign and Commonwealth Affairs, so there was a kind of trinity on the aeroplane.","Past","Howe), who at that time was Secretary of State for Foreign and Commonwealth Affairs, so there was a kind of trinity on the aeroplane."
1984-12-04,"If one is co-ordinating traffic signals, dealing with traffic management schemes, lorry routes and parking, one can deal with it only over a relatively wide area.","Present","If one is co-ordinating traffic signals, dealing with traffic management schemes, lorry routes and parking, one can deal with it only over a relatively wide area."
1987-04-10,"I understand that claims were made that certain people who were throwing stones were not miners and were not known to anyone else.","Past","I understand that claims were made that certain people who were throwing stones were not miners and were not known to anyone else."
1996-03-01,"The clause would effectively give additional protection not just to the honest but to the dishonest journalist in cases where, as is not unknown, there are financial inducements for a journalist to produce a particular story irrespective of whether it is true.","Present","The clause would effectively give additional protection not just to the honest but to the dishonest journalist in cases where, as is not unknown, there are financial inducements for a journalist to produce a particular story irrespective of whether it is true."
2000-11-17,"I am glad that the Minister has recognised that this is primarily an ethical argument on both sides, rather than a scientific argument.","Present","I am glad that the Minister has recognised that this is primarily an ethical argument on both sides, rather than a scientific argument."
2012-07-11,"Before I list my engagements, I am sure the whole House will wish to join me in paying tribute to Police Constable Ian Dibell of Essex police, who was shot and killed in Clacton-on-Sea on Monday.","Past","Before I list my engagements, I am sure the whole House will wish to join me in paying tribute to Police Constable Ian Dibell of Essex police, who was shot and killed in Clacton-on-Sea on Monday."
1982-07-21,"Ten-Minute Bill, Mr Dennis Canavan.","Present","Ten-Minute Bill, Mr Dennis Canavan."
1989-06-06,"The free market, indeed.","Present","The free market, indeed."
2011-03-02,"These pilots, however, seem to be an inadequate response to the needs of 965,000 young people who are now out of work.","Present","These pilots, however, seem to be an inadequate response to the needs of 965,000 young people who are now out of work."
